"businessentityid","personname","emailaddress","phonenumber","totalpurchaseytd"
9012,"Michelle Morris","michelle19@adventure-works.com","891-555-0188","2274.98000"
12712,"Kayla Jenkins","kayla31@adventure-works.com","1 (11) 500 555-0146","2274.98000"
6080,"Beth Alonso","beth10@adventure-works.com","1 (11) 500 555-0126","2274.98000"
1716,"Deanna Sabella","deanna2@adventure-works.com","529-555-0100","2274.98000"
9038,"Mackenzie Rogers","mackenzie18@adventure-works.com","1 (11) 500 555-0111","2274.98000"
14748,"Marcus Richardson","marcus85@adventure-works.com","1 (11) 500 555-0140","2274.98000"
6539,"Steve He","steve21@adventure-works.com","806-555-0181","2274.98000"
18869,"Andrew Jones","andrew12@adventure-works.com","1 (11) 500 555-0113","2274.69000"
6234,"Damien Liu","damien3@adventure-works.com","1 (11) 500 555-0189","2273.99000"
19214,"Brianna Torres","brianna40@adventure-works.com","617-555-0112","2273.01250"
7587,"Melanie Foster","melanie3@adventure-works.com","266-555-0115","2273.01180"
11553,"Marshall Andersen","marshall33@adventure-works.com","1 (11) 500 555-0162","2273.01180"
8137,"Kimberly Torres","kimberly7@adventure-works.com","233-555-0131","2273.01180"
20128,"Ronald Sara","ronald12@adventure-works.com","1 (11) 500 555-0154","2273.01180"
3511,"Jessica Coleman","jessica30@adventure-works.com","1 (11) 500 555-0127","2273.01040"
19331,"Olivia James","olivia43@adventure-works.com","386-555-0112","2273.01000"
17608,"Stacey Lu","stacey12@adventure-works.com","1 (11) 500 555-0157","2273.01000"
13928,"Lucas Washington","lucas61@adventure-works.com","631-555-0156","2273.01000"
17574,"Eric Allen","eric62@adventure-works.com","507-555-0146","2273.01000"
1780,"Lolan Song","lolan1@adventure-works.com","504-555-0100","2273.01000"
16032,"Connor Turner","connor34@adventure-works.com","691-555-0182","2273.01000"
17183,"Robert Anderson","robert68@adventure-works.com","255-555-0175","2273.01000"
2521,"Shannon Wang","shannon1@adventure-works.com","1 (11) 500 555-0195","2273.01000"
17128,"Jordan King","jordan73@adventure-works.com","550-555-0163","2273.01000"
11608,"Anna Clark","anna57@adventure-works.com","183-555-0145","2273.01000"
14575,"Marcus Ramirez","marcus82@adventure-works.com","127-555-0144","2273.01000"
16736,"Jordan Scott","jordan69@adventure-works.com","411-555-0116","2273.01000"
16745,"Martin Prasad","martin14@adventure-works.com","1 (11) 500 555-0123","2273.01000"
19147,"Megan Powell","megan58@adventure-works.com","807-555-0130","2273.01000"
17002,"Noah Hernandez","noah45@adventure-works.com","180-555-0137","2273.01000"
14822,"Dalton Cox","dalton81@adventure-works.com","562-555-0158","2273.01000"
17792,"Nathan Brown","nathan62@adventure-works.com","992-555-0153","2273.00750"
12976,"Dakota Griffin","dakota17@adventure-works.com","136-555-0141","2273.00750"
16180,"Eric Campbell","eric49@adventure-works.com","293-555-0189","2273.00750"
11021,"Cindy Lewis","cindy21@adventure-works.com","1 (11) 500 555-0195","2272.67000"
10148,"Stephanie Scott","stephanie58@adventure-works.com","720-555-0158","2271.97000"
8853,"Ariana Bailey","ariana14@adventure-works.com","1 (11) 500 555-0138","2271.47000"
13926,"Lucas Flores","lucas60@adventure-works.com","468-555-0132","2271.47000"
10811,"Katherine Wilson","katherine77@adventure-works.com","265-555-0110","2271.47000"
19059,"Craig Moreno","craig7@adventure-works.com","1 (11) 500 555-0119","2271.47000"
6671,"David Simmons","david48@adventure-works.com","712-555-0167","2269.99000"
11118,"Roy Raman","roy12@adventure-works.com","1 (11) 500 555-0136","2269.99000"
19090,"Megan Murphy","megan35@adventure-works.com","511-555-0125","2269.99000"
17140,"Mitchell Jai","mitchell10@adventure-works.com","1 (11) 500 555-0113","2269.99000"
14862,"Lance Gill","lance13@adventure-works.com","1 (11) 500 555-0175","2269.99000"
16387,"Logan Carter","logan36@adventure-works.com","1 (11) 500 555-0192","2266.98040"
10651,"Meredith Dominguez","meredith36@adventure-works.com","1 (11) 500 555-0190","2266.98040"
7823,"Faith Flores","faith11@adventure-works.com","750-555-0154","2266.98000"
10039,"Kaitlyn Perez","kaitlyn10@adventure-works.com","154-555-0159","2266.98000"
14496,"Sebastian Gray","sebastian7@adventure-works.com","822-555-0190","2266.98000"
17392,"Jose Garcia","jose78@adventure-works.com","435-555-0139","2266.98000"
18495,"Zachary Anderson","zachary39@adventure-works.com","693-555-0118","2266.98000"
15282,"Ian Sanchez","ian84@adventure-works.com","373-555-0145","2266.98000"
14787,"Roberto Ruiz","roberto1@adventure-works.com","157-555-0190","2266.98000"
17079,"Shaun Deng","shaun3@adventure-works.com","1 (11) 500 555-0172","2266.98000"
12179,"Anna Miller","anna67@adventure-works.com","160-555-0184","2266.98000"
10680,"Kristi Patel","kristi19@adventure-works.com","308-555-0116","2266.98000"
6751,"Christian Henderson","christian19@adventure-works.com","819-555-0144","2266.97750"
7973,"Andrea Kelly","andrea3@adventure-works.com","656-555-0167","2266.97750"
7045,"Zachary Chen","zachary24@adventure-works.com","849-555-0134","2266.97750"
5294,"Nicolas Anand","nicolas20@adventure-works.com","1 (11) 500 555-0115","2265.00180"
18128,"David Jones","david76@adventure-works.com","1 (11) 500 555-0160","2265.00000"
14884,"Xavier Howard","xavier78@adventure-works.com","156-555-0152","2265.00000"
10208,"Katherine Green","katherine62@adventure-works.com","572-555-0184","2265.00000"
11002,"Courtney Young","courtney20@adventure-works.com","683-555-0161","2265.00000"
4157,"Blake Anderson","blake9@adventure-works.com","1 (11) 500 555-0113","2265.00000"
16132,"Mason Phillips","mason26@adventure-works.com","124-555-0175","2265.00000"
9542,"Amanda Roberts","amanda47@adventure-works.com","233-555-0116","2264.98000"
9561,"Sierra Roberts","sierra3@adventure-works.com","111-555-0177","2264.98000"
15367,"Jesse Rogers","jesse20@adventure-works.com","941-555-0161","2264.98000"
17181,"Noah Thomas","noah51@adventure-works.com","162-555-0112","2264.98000"
3753,"Wyatt Johnson","wyatt1@adventure-works.com","582-555-0166","2264.98000"
18501,"Dylan Jackson","dylan42@adventure-works.com","708-555-0179","2264.98000"
8930,"Ashlee Deng","ashlee8@adventure-works.com","1 (11) 500 555-0193","2264.67000"
9369,"Brad She","brad1@adventure-works.com","1 (11) 500 555-0136","2264.67000"
20522,"Keith Raji","keith25@adventure-works.com","207-555-0133","2262.98000"
19447,"Raymond Suri","raymond2@adventure-works.com","585-555-0180","2262.98000"
16782,"Jackson Green","jackson45@adventure-works.com","990-555-0190","2262.98000"
2893,"Kelvin Raje","kelvin10@adventure-works.com","1 (11) 500 555-0132","2262.98000"
2515,"Kristen Guo","kristen15@adventure-works.com","865-555-0193","2262.98000"
11538,"Barbara Li","barbara13@adventure-works.com","1 (11) 500 555-0145","2261.98040"
5254,"Adam Russell","adam16@adventure-works.com","809-555-0150","2261.98000"
7607,"Virginia Sara","virginia12@adventure-works.com","1 (11) 500 555-0186","2261.98000"
13131,"Edwin Huang","edwin6@adventure-works.com","158-555-0170","2261.98000"
7073,"Marissa Flores","marissa9@adventure-works.com","126-555-0191","2261.98000"
11489,"Destiny Wilson","destiny7@adventure-works.com","622-555-0158","2261.98000"
9394,"Sydney Collins","sydney46@adventure-works.com","119-555-0140","2261.97750"
11938,"Alisha Wang","alisha1@adventure-works.com","1 (11) 500 555-0152","2260.00250"
8966,"Alexa Cooper","alexa16@adventure-works.com","493-555-0133","2260.00250"
5880,"Claudia Ma","claudia14@adventure-works.com","1 (11) 500 555-0167","2260.00180"
17934,"Dennis She","dennis25@adventure-works.com","1 (11) 500 555-0141","2260.00180"
2627,"Heather Wang","heather1@adventure-works.com","1 (11) 500 555-0116","2260.00180"
2663,"Tiffany Lin","tiffany7@adventure-works.com","1 (11) 500 555-0132","2260.00040"
13357,"Willie Zhu","willie12@adventure-works.com","1 (11) 500 555-0128","2260.00040"
8344,"Carmen Raman","carmen15@adventure-works.com","990-555-0183","2260.00000"
6185,"Cheryl Romero","cheryl11@adventure-works.com","1 (11) 500 555-0159","2260.00000"
6378,"Jacquelyn Saunders","jacquelyn21@adventure-works.com","574-555-0154","2260.00000"
4636,"Donna Xie","donna3@adventure-works.com","1 (11) 500 555-0118","2260.00000"
10631,"Meredith Alvarez","meredith27@adventure-works.com","1 (11) 500 555-0172","2260.00000"
19659,"Patricia Vance","patricia9@adventure-works.com","1 (11) 500 555-0158","2260.00000"
12482,"Sarah Thompson","sarah17@adventure-works.com","412-555-0111","2260.00000"
17484,"Thomas Hall","thomas84@adventure-works.com","1 (11) 500 555-0133","2260.00000"
20119,"Ronald Arthur","ronald8@adventure-works.com","1 (11) 500 555-0189","2260.00000"
19237,"Victor Romero","victor10@adventure-works.com","1 (11) 500 555-0198","2260.00000"
3904,"Fernando Evans","fernando41@adventure-works.com","462-555-0162","2260.00000"
13212,"Antonio Butler","antonio14@adventure-works.com","709-555-0140","2260.00000"
7399,"Vanessa Henderson","vanessa5@adventure-works.com","1 (11) 500 555-0185","2260.00000"
19385,"Shane Raman","shane15@adventure-works.com","1 (11) 500 555-0128","2260.00000"
7430,"Ana Price","ana0@adventure-works.com","859-555-0113","2260.00000"
13955,"Seth Ross","seth52@adventure-works.com","970-555-0180","2260.00000"
5618,"Connor Zhang","connor18@adventure-works.com","861-555-0111","2260.00000"
9391,"Brad Sharma","brad9@adventure-works.com","1 (11) 500 555-0192","2260.00000"
14792,"Chase Cox","chase10@adventure-works.com","764-555-0116","2260.00000"
13117,"Fernando Flores","fernando55@adventure-works.com","162-555-0175","2260.00000"
7968,"Emmanuel Smith","emmanuel8@adventure-works.com","876-555-0114","2259.99750"
9022,"Gilbert Guo","gilbert15@adventure-works.com","1 (11) 500 555-0118","2259.99750"
2951,"Katherine Wood","katherine27@adventure-works.com","217-555-0118","2259.99750"
9911,"Rebekah Vazquez","rebekah34@adventure-works.com","1 (11) 500 555-0136","2259.99180"
7084,"Jaime Carlson","jaime20@adventure-works.com","113-555-0188","2259.99000"
9110,"Sara Reed","sara22@adventure-works.com","653-555-0182","2259.99000"
4630,"Marcus Garcia","marcus17@adventure-works.com","582-555-0192","2259.99000"
4645,"Marcus Hernandez","marcus28@adventure-works.com","735-555-0116","2259.99000"
13587,"Blake Ross","blake51@adventure-works.com","331-555-0154","2259.99000"
17146,"Noah Wright","noah48@adventure-works.com","792-555-0113","2259.99000"
3099,"Stephanie Sanders","stephanie27@adventure-works.com","356-555-0193","2259.99000"
6105,"Noah Butler","noah11@adventure-works.com","426-555-0158","2259.99000"
5075,"Eduardo Collins","eduardo43@adventure-works.com","100-555-0124","2259.99000"
9327,"Isabella Edwards","isabella34@adventure-works.com","674-555-0178","2259.99000"
15238,"Heidi Suri","heidi2@adventure-works.com","280-555-0183","2259.99000"
6021,"Samuel Hayes","samuel22@adventure-works.com","673-555-0152","2259.99000"
18548,"Janelle Gonzalez","janelle15@adventure-works.com","926-555-0137","2259.99000"
8422,"Michele Chander","michele16@adventure-works.com","164-555-0130","2259.98000"
19405,"Shane Sanchez","shane23@adventure-works.com","1 (11) 500 555-0190","2259.68000"
20582,"Kristin Jai","kristin12@adventure-works.com","1 (11) 500 555-0113","2257.69000"
16870,"Melody Munoz","melody8@adventure-works.com","1 (11) 500 555-0147","2255.98180"
3146,"Cedric Wang","cedric1@adventure-works.com","1 (11) 500 555-0182","2255.98180"
20322,"Chad Shen","chad3@adventure-works.com","1 (11) 500 555-0164","2255.98180"
5385,"Jake Wang","jake1@adventure-works.com","274-555-0163","2255.98000"
11400,"Jasmine Thomas","jasmine9@adventure-works.com","337-555-0179","2255.98000"
20700,"Amy Chow","amy10@adventure-works.com","1 (11) 500 555-0175","2254.98180"
6679,"David Diaz","david55@adventure-works.com","613-555-0119","2254.98000"
9328,"Natalie Edwards","natalie45@adventure-works.com","971-555-0122","2254.97750"
16332,"Katrina Luo","katrina5@adventure-works.com","1 (11) 500 555-0197","2254.97750"
16456,"Misty Luo","misty7@adventure-works.com","1 (11) 500 555-0162","2253.47250"
14074,"Juan Watson","juan10@adventure-works.com","175-555-0163","2253.47180"
17319,"Naomi Moreno","naomi6@adventure-works.com","1 (11) 500 555-0136","2253.47180"
12391,"Lacey Liang","lacey29@adventure-works.com","1 (11) 500 555-0131","2253.47180"
16482,"Thomas Mitchell","thomas48@adventure-works.com","948-555-0140","2253.47000"
9940,"Amanda Carter","amanda53@adventure-works.com","295-555-0145","2253.47000"
5064,"Eduardo Roberts","eduardo37@adventure-works.com","907-555-0129","2253.47000"
13463,"Dalton Patterson","dalton56@adventure-works.com","164-555-0118","2253.47000"
10314,"Andrea Adams","andrea37@adventure-works.com","658-555-0193","2253.47000"
13792,"Richard Butler","richard69@adventure-works.com","491-555-0118","2253.47000"
19196,"Brianna Morgan","brianna30@adventure-works.com","954-555-0117","2253.47000"
16579,"Kara Anand","kara20@adventure-works.com","1 (11) 500 555-0130","2253.47000"
5222,"Jack Kumar","jack29@adventure-works.com","747-555-0113","2253.47000"
20004,"Destiny Rogers","destiny26@adventure-works.com","262-555-0170","2253.47000"
17772,"Susan Ma","susan26@adventure-works.com","423-555-0117","2253.46750"
13319,"Julian Wood","julian3@adventure-works.com","1 (11) 500 555-0115","2250.69000"
7706,"Jerome Torres","jerome10@adventure-works.com","166-555-0145","2249.99000"
3766,"Barry Rana","barry12@adventure-works.com","1 (11) 500 555-0127","2249.99000"
4787,"Lucas Thomas","lucas24@adventure-works.com","651-555-0160","2249.98750"
18656,"Diana Navarro","diana9@adventure-works.com","1 (11) 500 555-0186","2249.69000"
6750,"Theodore Vazquez","theodore15@adventure-works.com","1 (11) 500 555-0126","2249.69000"
10360,"Jay Rubio","jay51@adventure-works.com","1 (11) 500 555-0185","2246.47040"
18338,"Frank Munoz","frank15@adventure-works.com","565-555-0189","2246.47000"
17118,"James Wright","james70@adventure-works.com","726-555-0143","2245.91000"
10906,"Marshall Lin","marshall7@adventure-works.com","1 (11) 500 555-0198","2244.70000"
17698,"Margaret Li","margaret10@adventure-works.com","1 (11) 500 555-0129","2240.00180"
13398,"Willie Johnsen","willie30@adventure-works.com","1 (11) 500 555-0148","2240.00180"
6638,"Alberto Serrano","alberto16@adventure-works.com","1 (11) 500 555-0112","2240.00180"
11225,"Isabella Anderson","isabella65@adventure-works.com","139-555-0156","2240.00000"
17567,"Luke Allen","luke52@adventure-works.com","786-555-0133","2240.00000"
16027,"Gabriel Turner","gabriel35@adventure-works.com","127-555-0118","2240.00000"
5673,"Jose Wang","jose19@adventure-works.com","177-555-0147","2240.00000"
7407,"Tammy Chandra","tammy2@adventure-works.com","1 (11) 500 555-0148","2240.00000"
14324,"Alex Torres","alex7@adventure-works.com","438-555-0146","2240.00000"
17959,"Vincent Sun","vincent12@adventure-works.com","1 (11) 500 555-0119","2235.71000"
4872,"Charles Rodriguez","charles24@adventure-works.com","363-555-0187","2224.26000"
3049,"Summer Mehta","summer12@adventure-works.com","238-555-0168","2214.98000"
7963,"Damien Lu","damien9@adventure-works.com","610-555-0128","2211.95000"
14788,"Nathaniel Cox","nathaniel11@adventure-works.com","432-555-0179","2203.27000"
6449,"Ernest Wang","ernest1@adventure-works.com","212-555-0184","2202.28000"
12577,"Josue Dominguez","josue1@adventure-works.com","1 (11) 500 555-0192","2200.98040"
13412,"Simon Pearson","simon3@adventure-works.com","440-555-0185","2200.98000"
11026,"Joe Martinez","joe20@adventure-works.com","882-555-0199","2200.25000"
4962,"Rosa Ye","rosa10@adventure-works.com","1 (11) 500 555-0181","2199.99250"
10838,"Katherine Clark","katherine90@adventure-works.com","436-555-0189","2199.99000"
6613,"Justin Hughes","justin8@adventure-works.com","189-555-0112","2199.99000"
16041,"Jackson Turner","jackson35@adventure-works.com","618-555-0131","2199.99000"
17195,"Robert Thomas","robert69@adventure-works.com","160-555-0199","2199.99000"
13473,"Dalton Foster","dalton62@adventure-works.com","238-555-0185","2199.99000"
3040,"Summer Smith","summer7@adventure-works.com","1 (11) 500 555-0117","2199.99000"
3303,"Ruth Sanchez","ruth24@adventure-works.com","1 (11) 500 555-0195","2199.99000"
17963,"Ethan Walker","ethan51@adventure-works.com","569-555-0192","2199.99000"
13371,"Oscar Henderson","oscar13@adventure-works.com","827-555-0164","2199.99000"
1736,"Steve Schmidt","steve3@adventure-works.com","988-555-0100","2196.97180"
14320,"Kristy Alvarez","kristy5@adventure-works.com","1 (11) 500 555-0114","2196.97180"
20071,"Destiny Coleman","destiny54@adventure-works.com","446-555-0114","2189.97000"
2758,"Natalie Diaz","natalie44@adventure-works.com","904-555-0115","2185.26250"
10963,"Chloe Young","chloe23@adventure-works.com","208-555-0142","2182.97000"
4357,"Seth Mitchell","seth38@adventure-works.com","171-555-0140","2182.97000"
18166,"Christian Harris","christian49@adventure-works.com","755-555-0163","2178.27000"
6205,"Jose Patterson","jose33@adventure-works.com","768-555-0153","2178.27000"
15310,"Jillian Prasad","jillian10@adventure-works.com","1 (11) 500 555-0162","2174.99180"
4097,"Miguel Clark","miguel19@adventure-works.com","188-555-0182","2174.99000"
6248,"Janet Gutierrez","janet16@adventure-works.com","857-555-0148","2174.99000"
9975,"Kaylee Carter","kaylee32@adventure-works.com","464-555-0161","2174.99000"
19106,"Megan Ward","megan40@adventure-works.com","1 (11) 500 555-0117","2174.99000"
9493,"Riley Stewart","riley40@adventure-works.com","618-555-0117","2174.99000"
10624,"Meredith Martin","meredith22@adventure-works.com","395-555-0159","2174.99000"
18878,"Andrew Wilson","andrew16@adventure-works.com","984-555-0144","2174.99000"
16450,"Misty Xie","misty4@adventure-works.com","146-555-0168","2174.98750"
3597,"Taylor Washington","taylor38@adventure-works.com","170-555-0113","2157.97180"
11934,"Elizabeth Lee","elizabeth26@adventure-works.com","591-555-0186","2157.96750"
13864,"Ian Wood","ian42@adventure-works.com","304-555-0141","2138.27750"
5416,"Jake Xu","jake11@adventure-works.com","1 (11) 500 555-0135","2061.90500"
4216,"Tommy Raje","tommy10@adventure-works.com","1 (11) 500 555-0188","2061.90500"
9373,"Gilbert Sharma","gilbert30@adventure-works.com","1 (11) 500 555-0133","2051.88500"
16162,"Molly Lopez","molly15@adventure-works.com","1 (11) 500 555-0183","2036.90500"
4433,"Nina Kumar","nina8@adventure-works.com","1 (11) 500 555-0115","1848.97040"
5485,"Eugene Guo","eugene22@adventure-works.com","1 (11) 500 555-0155","1814.41500"
5074,"Andres Shan","andres7@adventure-works.com","1 (11) 500 555-0135","1789.99000"
16784,"Mario Shen","mario1@adventure-works.com","602-555-0112","1785.49000"
3581,"Shawna Pal","shawna13@adventure-works.com","1 (11) 500 555-0151","1785.49000"
5442,"Luis Hughes","luis10@adventure-works.com","136-555-0168","1780.98000"
6719,"Theodore Ruiz","theodore2@adventure-works.com","1 (11) 500 555-0119","1780.84360"
17905,"Dennis Zhao","dennis12@adventure-works.com","1 (11) 500 555-0145","1780.84360"
7368,"Clarence Nara","clarence31@adventure-works.com","1 (11) 500 555-0168","1780.84360"
20422,"Peter Jai","peter17@adventure-works.com","1 (11) 500 555-0113","1780.00000"
11807,"Ross Munoz","ross27@adventure-works.com","1 (11) 500 555-0181","1779.99750"
5601,"Ronnie Zeng","ronnie19@adventure-works.com","1 (11) 500 555-0115","1776.98180"
14772,"Danny Serrano","danny17@adventure-works.com","1 (11) 500 555-0110","1770.97750"
4010,"Jeremy Rodriguez","jeremy6@adventure-works.com","382-555-0146","1766.98000"
20666,"Lindsey Andersen","lindsey14@adventure-works.com","1 (11) 500 555-0178","1764.99000"
12567,"Alejandro Raji","alejandro46@adventure-works.com","1 (11) 500 555-0182","1761.48000"
4133,"Miguel Parker","miguel42@adventure-works.com","199-555-0159","1761.48000"
6118,"Noah Diaz","noah19@adventure-works.com","179-555-0125","1759.97000"
15423,"Jesse Reed","jesse21@adventure-works.com","1 (11) 500 555-0192","1759.97000"
15428,"Timothy Reed","timothy22@adventure-works.com","204-555-0112","1759.47000"
19708,"Kristina Mehta","kristina14@adventure-works.com","1 (11) 500 555-0142","1758.23360"
19576,"Holly Malhotra","holly6@adventure-works.com","1 (11) 500 555-0175","1755.97000"
4567,"Alvin Xu","alvin12@adventure-works.com","1 (11) 500 555-0115","1755.97000"
20557,"Karen Morgan","karen34@adventure-works.com","134-555-0150","1745.99000"
7186,"Brittany Long","brittany8@adventure-works.com","634-555-0154","1745.99000"
19749,"Cynthia Fernandez","cynthia21@adventure-works.com","1 (11) 500 555-0120","1745.99000"
6651,"David Ross","david36@adventure-works.com","553-555-0132","1745.99000"
14120,"Lori Gill","lori15@adventure-works.com","1 (11) 500 555-0136","1745.99000"
5652,"Jose Washington","jose7@adventure-works.com","169-555-0119","1745.99000"
19609,"Grace Richardson","grace35@adventure-works.com","723-555-0160","1745.99000"
12440,"Ashley Garcia","ashley17@adventure-works.com","773-555-0126","1745.99000"
9544,"Stephanie Roberts","stephanie53@adventure-works.com","761-555-0113","1745.99000"
11804,"Warren Wang","warren18@adventure-works.com","865-555-0123","1745.99000"
3714,"Lauren Torres","lauren14@adventure-works.com","572-555-0185","1745.99000"
12611,"Clayton Guo","clayton16@adventure-works.com","1 (11) 500 555-0158","1745.99000"
12077,"Kelli Gao","kelli16@adventure-works.com","1 (11) 500 555-0194","1744.25360"
14666,"Jamie Vazquez","jamie36@adventure-works.com","1 (11) 500 555-0156","1741.99000"
13671,"Rodney Moreno","rodney2@adventure-works.com","265-555-0159","1741.99000"
5858,"Daisy Hernandez","daisy0@adventure-works.com","1 (11) 500 555-0191","1741.99000"
3792,"Cedric Xie","cedric25@adventure-works.com","1 (11) 500 555-0146","1741.99000"
9828,"Haley Gonzalez","haley48@adventure-works.com","664-555-0169","1741.99000"
14447,"Marcus Peterson","marcus80@adventure-works.com","655-555-0183","1741.99000"
16453,"Evan Carter","evan35@adventure-works.com","697-555-0113","1741.99000"
6800,"Caroline Alexander","caroline20@adventure-works.com","916-555-0160","1741.99000"
16031,"Caleb Turner","caleb34@adventure-works.com","114-555-0168","1741.99000"
17675,"Sandra Guo","sandra25@adventure-works.com","1 (11) 500 555-0159","1741.98750"
3330,"Toni Arun","toni6@adventure-works.com","1 (11) 500 555-0192","1741.98750"
9363,"Brendan Beck","brendan18@adventure-works.com","1 (11) 500 555-0191","1741.98750"
14099,"Ian Watson","ian65@adventure-works.com","1 (11) 500 555-0114","1740.97000"
13476,"Dalton Bryant","dalton64@adventure-works.com","389-555-0150","1740.47000"
5056,"Eduardo Baker","eduardo31@adventure-works.com","698-555-0189","1740.47000"
16475,"Misty Raje","misty15@adventure-works.com","1 (11) 500 555-0171","1740.46750"
2744,"Andy Torres","andy16@adventure-works.com","1 (11) 500 555-0149","1730.49000"
15951,"Henry Suri","henry2@adventure-works.com","1 (11) 500 555-0113","1730.49000"
5649,"Darryl Guo","darryl17@adventure-works.com","1 (11) 500 555-0125","1730.49000"
2615,"Kenneth Lal","kenneth8@adventure-works.com","1 (11) 500 555-0121","1730.49000"
3973,"Abigail Butler","abigail39@adventure-works.com","358-555-0118","1730.49000"
20586,"Kristin Carson","kristin15@adventure-works.com","1 (11) 500 555-0156","1730.48750"
10812,"Bruce Sara","bruce9@adventure-works.com","1 (11) 500 555-0144","1729.48000"
20233,"Derek Shen","derek2@adventure-works.com","1 (11) 500 555-0174","1729.48000"
6650,"Alberto Ortega","alberto21@adventure-works.com","1 (11) 500 555-0113","1727.68250"
4467,"Dalton Anderson","dalton9@adventure-works.com","1 (11) 500 555-0112","1727.68250"
2840,"Jaime Gomez","jaime0@adventure-works.com","1 (11) 500 555-0121","1727.68180"
9859,"Savannah Gonzalez","savannah31@adventure-works.com","1 (11) 500 555-0117","1727.68040"
16907,"Jerry Andersen","jerry14@adventure-works.com","1 (11) 500 555-0156","1727.68000"
8832,"Mackenzie Bailey","mackenzie14@adventure-works.com","147-555-0135","1727.68000"
12052,"Kelli Liu","kelli4@adventure-works.com","1 (11) 500 555-0163","1727.68000"
10568,"Mary Wright","mary33@adventure-works.com","160-555-0188","1727.68000"
14648,"Jamie Moreno","jamie30@adventure-works.com","1 (11) 500 555-0136","1727.68000"
3077,"Stephanie Rivera","stephanie13@adventure-works.com","1 (11) 500 555-0142","1727.68000"
7301,"Mya Bennett","mya3@adventure-works.com","905-555-0121","1727.68000"
15419,"Evan Reed","evan21@adventure-works.com","735-555-0111","1727.68000"
16887,"Jerry Xu","jerry5@adventure-works.com","1 (11) 500 555-0158","1727.68000"
19234,"Brianna Price","brianna48@adventure-works.com","175-555-0121","1727.68000"
14714,"Sheila Serrano","sheila15@adventure-works.com","1 (11) 500 555-0157","1727.68000"
20622,"Kaitlyn Powell","kaitlyn75@adventure-works.com","1 (11) 500 555-0180","1727.68000"
6842,"Neil Alvarez","neil5@adventure-works.com","1 (11) 500 555-0111","1727.68000"
18673,"Jacob Smith","jacob1@adventure-works.com","1 (11) 500 555-0152","1727.68000"
3731,"Edward Adams","edward8@adventure-works.com","947-555-0187","1727.68000"
18838,"Brandy Malhotra","brandy0@adventure-works.com","1 (11) 500 555-0121","1727.68000"
13562,"Jon Guo","jon38@adventure-works.com","1 (11) 500 555-0111","1727.67750"
3882,"Marco Fernandez","marco16@adventure-works.com","1 (11) 500 555-0158","1726.99000"
2557,"Dustin Yuan","dustin6@adventure-works.com","1 (11) 500 555-0192","1726.99000"
17280,"Bethany Jai","bethany14@adventure-works.com","1 (11) 500 555-0172","1726.99000"
10957,"Arthur Munoz","arthur31@adventure-works.com","1 (11) 500 555-0117","1726.99000"
3140,"Adriana Vance","adriana4@adventure-works.com","1 (11) 500 555-0153","1726.99000"
18422,"Larry Jimenez","larry7@adventure-works.com","1 (11) 500 555-0143","1726.99000"
17481,"Valerie Zhang","valerie1@adventure-works.com","1 (11) 500 555-0112","1726.98750"
13690,"Rodney Torres","rodney8@adventure-works.com","1 (11) 500 555-0115","1726.49000"
19191,"Brianna Rogers","brianna27@adventure-works.com","1 (11) 500 555-0199","1726.49000"
11042,"Joe Ashe","joe28@adventure-works.com","563-555-0128","1726.49000"
8480,"Alexandria Richardson","alexandria31@adventure-works.com","530-555-0143","1726.49000"
8164,"Gabriella Peterson","gabriella2@adventure-works.com","193-555-0123","1726.49000"
13893,"Ian Bryant","ian58@adventure-works.com","1 (11) 500 555-0117","1726.49000"
8943,"Gabriella Cooper","gabriella16@adventure-works.com","736-555-0113","1726.49000"
20529,"April Xie","april3@adventure-works.com","413-555-0177","1726.49000"
14126,"Timothy Brooks","timothy3@adventure-works.com","831-555-0110","1726.49000"
4730,"Trisha Wu","trisha1@adventure-works.com","1 (11) 500 555-0197","1726.49000"
20320,"Chad Deng","chad2@adventure-works.com","1 (11) 500 555-0167","1726.49000"
12069,"Kelli Zhao","kelli11@adventure-works.com","1 (11) 500 555-0167","1726.49000"
19389,"Victoria Morgan","victoria30@adventure-works.com","116-555-0151","1726.49000"
17660,"Sandra Zhao","sandra17@adventure-works.com","1 (11) 500 555-0162","1726.49000"
14390,"Giraldo Sandoval","giraldo0@adventure-works.com","1 (11) 500 555-0196","1726.49000"
20381,"Julia Price","julia66@adventure-works.com","649-555-0115","1726.49000"
3186,"Hailey Henderson","hailey26@adventure-works.com","321-555-0174","1726.49000"
19910,"Kathryn Yuan","kathryn6@adventure-works.com","1 (11) 500 555-0169","1725.46750"
10961,"Andrea Allen","andrea45@adventure-works.com","306-555-0110","1723.69000"
14756,"Danny Romero","danny10@adventure-works.com","1 (11) 500 555-0189","1723.69000"
9577,"Kristi Hernandez","kristi0@adventure-works.com","1 (11) 500 555-0182","1723.69000"
20397,"Julia Jenkins","julia73@adventure-works.com","483-555-0189","1723.69000"
19358,"Olivia Washington","olivia59@adventure-works.com","674-555-0114","1723.69000"
15057,"Gina Gutierrez","gina11@adventure-works.com","1 (11) 500 555-0173","1723.69000"
7574,"Virginia Suri","virginia1@adventure-works.com","468-555-0162","1723.69000"
7569,"Carla Rodriguez","carla22@adventure-works.com","1 (11) 500 555-0167","1723.69000"
